LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
difgo;tirer avec force;VIA
diigaago;aller à toute vitesse;VIM
diga;depuis;U
digaare;pepiniere;NCS
digaaje;pepinieres;NCP
digaari;plant sorgho;NCS
digesiijo;barbier;NCS
digesi'en;barbiers;NCP
diggugo;jeter des sorts bénéfiques ;VIA
diggoowo;protection magique de l'enclos;PPS
diggoove ;protections magiques de l'enclos;PPP
diggango;jeter des sorts bénéfiques en faveur de quelqu'un;VIA
diggol;rangée de recipients dans la case d'une femme;PPS
diggi;rangées de recipients dans la case d'une femme;PPP
dikkuru;premiere parturition;NCS
ndikka;c'est mieux ;PPS
ndikkaago;aller mieux;VIM
ndikkanaago;aller mieux pour ;VIM
ndikkitingo;preferer;VIA
diilgo;confier à quelqu'un;VIA
dillugo;partir;VIA
dillango;etre pres de;VIA
dillidgo;partir avec quelqu'un;VIA
dilmaahi;arbre;NCS
dilmaaje;arbres;NCP
diilteego;avoir sur le dos une grosse excroissance qui courbe le malade en avant;VIP
diiltugo;provoquer cette excroissance;VIA
diiltaare;grosse excroissance sur le dos;PPS
diiltaaje;grosses excroissances sur le dos;PPP
dimmbugo;remuer;VIA
dimmbaago;se secouer;VIM
dimmbannde;mouvement;PPS
dimmbanze;mouvements;PPP
diina;religion;U
diindiinoraago;suivre une religion;VIM
dinamo;aimant;U
dinaariwol;carreau;NCS
diinaruure;piece d'or;NCS
diinaruuje;pieces d'or;NCP
dinnkinkolo;patates douces;U
ndiq;ideophone;ID
ndiqaajo;avare;PPS
ndiqa'en;avares;PPP
diqdiqnaago;indiquer à quelqu'un;VIM
diwoore;puce;PPS
diwooje;puces;PPP
diwtaago;sauter une deuxieme fois;VIM
diwtannde;deuxieme;NCS
diwtugo;renier sa promesse;VIA
diwtorgo;sursauter;VIA
diwtorki;sursaut;PPS
diwtinirgo;effrayer;VIA
diwdiwngel;saut;NCS
diwdiwnugo;sauter constamment;VIA
diiwaanji;registres;NCP
diiwanuuji;registres;NCP
diwnugo;trembler;VIA
diwngol;trembler;PPS
diwnol;trembler;PPS
diwningo;trembler;VIA
diwnirgo;trembler;VIA
ndiyam;eau;NCS
di'e;eaux;NCP
diyya;amende pour meurtre;U
do'a;priere;NCS
do'aaje;prieres;NCP
do'aago;prier;VIM
do'aare;texte de priere;PPS
do'anaago;prier pour quelqu'un;VIM
do'inirgo;priere d'une certaine manière;VIA
do'oraago;fierté;VIM
do'orteezo;Celui dont on invoque;PPS
do'ordu;fete de fin d'etudes coraniques.;PPS
ndoondi;cendre;NCS
dozze;cendres;NCP
dookal;cendre;NCS
ndo'irjam;dechets de metal inutilises par le forgeron;NCS
ndo'iriijam;dechets de metal inutilises par le forgeron;NCP
dobal;grande outarde d'Afrique;NCS
dobe;grandes outardes d'Afrique;NCP
dovvere;bourgeon;NCS
dovve;bourgeons;NCP
doccugo;finir de bruler, s'eteindre;VIA
doccuki;finir de bruler, s'eteindre.;PPS
doccol;brulé, eteint;PPS
doflaago;bousculer, pousser, tamponner, renverser une personne (voiture);VIM
doflaaki;bousculer, pousser, tamponner, renverser une personne (voiture);PPS
doflol;bousculade, poussade, tamponnade, ;PPS
doflootirgo;se bousculer mutuellement;VIA
doflindirgo;se bousculer mutuellement;VIA
doogaago;continuer;VIM
doogaaki;continuer;PPS
doogol;continuité;PPS
doogingo;faire continuer;VIA
doogariijo;portier, garde (d'un chef);NCS
doogari'en;portiers, gardes (des chefs);NCP
doogariiku;fonction de portier;NCS
doggugo; courir (homme, animal, véhicule)/ s'echapper, s'evader;VIA
doggoowo;"coureur, bon coureur; transfuge";PPS
doggoove;"coureurs, bons coureurs; transfuges";PPP
dogguki;action de courir;PPS
doggol;action de courir;PPS
doggannde;action de courir;PPS
dogganze;actions de courir;PPP
doggudu;course;PPS
doggere;«courante»;PPS
dogge;«courantes»;PPP
doggango;courir vers;VIA
doggidgo;courir avec, courir ensemble;VIA
doggingo;faire courir, avoir la diarrhée;VIA
doggirgo;courir d'une certaine manière;VIA
doggirde ;lieu de refuge;PPS
doggirze;lieux de refuge;PPP
doggitirgo;aller demander secours;VIA
doogoojo;grand de taille;NCS
doogo'en;grands de taille;NCP
dohgo;avoir la nausée;VIA
dohki;nausée;PPS
dohol;nausée;PPS
doho;nausée;PPS
ndooju;sorte d'abeille;NCS
dooji;sortes d'abeilles;NCP
dooka;acte de la police coutumière contre les malfaiteurs;NCS
dookaaji;actes de la police coutumière contre les malfaiteurs;NCP
dookal;cendre;NCS
doleego;avoir faim;VIP
dolo;faim;PPS
doole;force, contrainte, violence;PPP
doolgo;forcer, obliger;VIA
doolki;obligation;PPS
doolol;obligation;PPS
doolzinki;violence;PPS
doolnugo;faire obliger;VIA
doldolnde;espèce de carnivore;NCS
doldolze;espèces de carnivores;NCP
doldu;variété de bière de mil;NCS
dollugo;faire bouillir;VIA
dollaago;bouillir;VIM
dolluki;action de bouillir;PPS
dollol;action de bouillir;PPS
dollere;viande bouillie;PPS
ndolla;encre;PPS
ndolliri;bouillon de sorgo/ teinture bleue;NCS
dollango;faire bouillir, préparer pour quelqu'un;VIA
dollingo;être la cause de la préparation;VIA
dollirgo;bouillir avec;VIA
dollitaago;faire bouillir à nouveau;VIM
dollitanaago;faire bouillir à nouveau pour quelqu'un;VIM
domre;dard;NCS
dome;dards;NCP
doomburu;souris;NCS
doombi;souris;NCP
doombel;petite souris;NCS
ndoombon;petites souris;NCP
domdombal;caméléon;NCS
domdombe;caméléons;NCP
ndoondo;gateau de farine et de miel;NCS
ndoodooje;gateaux de farine et de miel;NCP
dondu;espèce de carnivore;NCS
dondi;espèces de carnivore;NCP
doqaare;brousse près d'un village;NCS
doqdoqa;soupe au poisson et aux arachides;NCS
doqgol;crête, bande de cheveux laissée sur la tête, nageoire dorsale;NCS
doqgi;crêtes, bandes de cheveux laissées sur la tête, nageoires dorsales;NCP
doqgoro;bonnet;NCS
doqgorooje;bonnets;NCP
dooñgo;balayer, ramasser;VIA
dooñre;epave flottante, nuages legers et filandreux;NCS
dooñirzum;râteau, balai;PPS
doñorgal;caméléon;NCS
doñorze;caméléons;NCP
domdombal;caméléon;NCS
doydowal;caméléon;NCS
doppaago;donner des coups de tete a la mamelle (veau, agneau);VIM
doppaaki;donner des coups de tete a la mamelle (veau, agneau);PPS
doppol;coup de tete a la mamelle (veau, agneau);PPS
doppingo;causer le coup de tete a la mamelle (veau, agneau);VIA
dopporaago;manière dont le coup de tete a la mamelle (veau, agneau) est faite;VIM
ndoppa;pantallon bouffant;NCS
dor;tente en cuir;U
dorji;tentes en cuirs;NCP
dooraago;bouffer;VIM
doorgo;faire manger;VIA
dooraaki;bouffer;PPS
doorol;bouffe;PPS
doororaago;manière de bouffer;VIM
dorvaago;être épuiser;VIM
dorvugo;épuiser;VIA
dorvaaki;être épuiser;PPS
dorvol;épuiser;PPS
dorvaare;épuisement;PPS
dorvoraago;manière d'épuiser;VIM
dooriyel;viande maigre;NCS
doornugo;crier fort, chanter fort;VIA
doornuki;crier fort, chanter fort;PPS
doornol;crier fort, chanter fort;PPS
doorningo;causer un cri fort, un chant fort;VIA
doornirgo;crier fort, chanter fort d'une certaine manière;VIA
ndooro;bavardage malveillant;NCS
ndooromaajo;médisant, mauvaise langue;NCS
ndooroma'en;médisants, mauvaises langues;NCP
ndororowal;gargouille;NCS
dororooje;gargouilles;NCP
doortugo;cueillir;VIA
doortuki;cueillir;PPS
doortol;cueillette;PPS
doortidgo;cueillir entièrement;VIA
doortingo;causer la cueillette;VIA
doortirgo;cueillir d'une certaine manière;VIA
dorwugo;bobiner;VIA
dorwuki;bobiner;PPS
dorwol;bobiner;PPS
dorwere;bobine;PPS
dorwe;bobines;PPP
dorwingo;causer l'embobinement;VIA
dorwirgo;bobiner d'une certaine manière;VIA
doosgo;confier temporairement à quelqu'un;VIA
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
